service_date,line,estimated_boardings,ObjectId
2020/07/21 04:00:00+00,Fairmount,409.5,102
2020/07/22 04:00:00+00,Providence/Stoughton,2939,103
2020/07/22 04:00:00+00,Newburyport/Rockport,1394.5,104
2020/07/22 04:00:00+00,Framingham/Worcester,1447.5,105
2020/07/22 04:00:00+00,Franklin/Foxboro,1343,106
2020/07/22 04:00:00+00,Middleborough/Lakeville,1024,107
2020/07/22 04:00:00+00,Lowell,838,108
2020/07/22 04:00:00+00,Haverhill,642,109
2020/07/22 04:00:00+00,Kingston,820,110
2020/07/22 04:00:00+00,Needham,596.5,111
2020/07/22 04:00:00+00,Fitchburg,536,112
2020/07/22 04:00:00+00,Greenbush,317,113
2020/07/22 04:00:00+00,Fairmount,411.5,114
2020/07/23 04:00:00+00,Providence/Stoughton,3186,115
2020/07/23 04:00:00+00,Newburyport/Rockport,1366.5,116
2020/07/23 04:00:00+00,Framingham/Worcester,1506,117
2020/07/23 04:00:00+00,Franklin/Foxboro,1417,118
2020/07/23 04:00:00+00,Middleborough/Lakeville,963,119
2020/07/23 04:00:00+00,Lowell,842.5,120
2020/07/23 04:00:00+00,Haverhill,655,121
2020/07/23 04:00:00+00,Kingston,642,122
2020/07/23 04:00:00+00,Needham,656.5,123
2020/07/23 04:00:00+00,Fitchburg,610,124
2020/07/23 04:00:00+00,Greenbush,295.5,125
2020/07/23 04:00:00+00,Fairmount,443.5,126
2020/07/24 04:00:00+00,Providence/Stoughton,2883,127
2020/07/24 04:00:00+00,Newburyport/Rockport,1451.5,128
2020/07/24 04:00:00+00,Framingham/Worcester,1586,129
2020/07/24 04:00:00+00,Franklin/Foxboro,1326.5,130
2020/07/24 04:00:00+00,Middleborough/Lakeville,830,131
2020/07/24 04:00:00+00,Lowell,824,132
2020/07/24 04:00:00+00,Haverhill,573,133
2020/07/24 04:00:00+00,Kingston,677,134
2020/07/24 04:00:00+00,Needham,584,135
2020/07/24 04:00:00+00,Fitchburg,524,136
2020/07/24 04:00:00+00,Greenbush,297,137
2020/07/24 04:00:00+00,Fairmount,411.5,138
2020/07/27 04:00:00+00,Providence/Stoughton,2767,139
2020/07/27 04:00:00+00,Newburyport/Rockport,1379.5,140
2020/07/27 04:00:00+00,Framingham/Worcester,1443,141
2020/07/27 04:00:00+00,Franklin/Foxboro,1275.5,142
2020/07/27 04:00:00+00,Middleborough/Lakeville,862.5,143
2020/07/27 04:00:00+00,Lowell,920,144
2020/07/27 04:00:00+00,Haverhill,685,145
2020/07/27 04:00:00+00,Kingston,617,146
2020/07/27 04:00:00+00,Needham,654,147
2020/07/27 04:00:00+00,Fitchburg,575,148
2020/07/27 04:00:00+00,Greenbush,294,149
2020/07/27 04:00:00+00,Fairmount,345.5,150
2020/06/22 04:00:00+00,Providence/Stoughton,447,151
2020/06/22 04:00:00+00,Newburyport/Rockport,697,152
2020/06/22 04:00:00+00,Framingham/Worcester,33,153
2020/06/22 04:00:00+00,Franklin/Foxboro,276,154
2020/06/22 04:00:00+00,Middleborough/Lakeville,601,155
2020/06/22 04:00:00+00,Lowell,421,156
2020/06/22 04:00:00+00,Haverhill,332,157
2020/06/22 04:00:00+00,Kingston,410,158
2020/06/22 04:00:00+00,Needham,55,159
2020/06/22 04:00:00+00,Fitchburg,486,160
2020/06/22 04:00:00+00,Greenbush,176,161
2020/06/22 04:00:00+00,Fairmount,157,162
2020/06/23 04:00:00+00,Providence/Stoughton,981,163
2020/06/23 04:00:00+00,Newburyport/Rockport,1137,164
2020/06/23 04:00:00+00,Framingham/Worcester,183,165
2020/06/23 04:00:00+00,Franklin/Foxboro,567,166
2020/06/23 04:00:00+00,Middleborough/Lakeville,752,167
2020/06/23 04:00:00+00,Lowell,607,168
2020/06/23 04:00:00+00,Haverhill,453,169
2020/06/23 04:00:00+00,Kingston,505,170
2020/06/23 04:00:00+00,Needham,85,171
2020/06/23 04:00:00+00,Fitchburg,546,172
2020/06/23 04:00:00+00,Greenbush,245,173
2020/06/23 04:00:00+00,Fairmount,168,174
2020/06/24 04:00:00+00,Providence/Stoughton,1311,175
2020/06/24 04:00:00+00,Newburyport/Rockport,1050,176
2020/06/24 04:00:00+00,Framingham/Worcester,183,177
2020/06/24 04:00:00+00,Franklin/Foxboro,577,178
2020/06/24 04:00:00+00,Middleborough/Lakeville,771.5,179
2020/06/24 04:00:00+00,Lowell,600,180
2020/06/24 04:00:00+00,Haverhill,455,181
2020/06/24 04:00:00+00,Kingston,432.5,182
2020/06/24 04:00:00+00,Needham,204,183
2020/06/24 04:00:00+00,Fitchburg,508,184
2020/06/24 04:00:00+00,Greenbush,245,185
2020/06/24 04:00:00+00,Fairmount,221,186
2020/06/25 04:00:00+00,Providence/Stoughton,1283,187
2020/06/25 04:00:00+00,Newburyport/Rockport,1223,188
2020/06/25 04:00:00+00,Framingham/Worcester,183,189
2020/06/25 04:00:00+00,Franklin/Foxboro,590,190
2020/06/25 04:00:00+00,Middleborough/Lakeville,787,191
2020/06/25 04:00:00+00,Lowell,658,192
2020/06/25 04:00:00+00,Haverhill,585,193
2020/06/25 04:00:00+00,Kingston,496,194
2020/06/25 04:00:00+00,Needham,257,195
2020/06/25 04:00:00+00,Fitchburg,531,196
2020/06/25 04:00:00+00,Greenbush,254,197
2020/06/25 04:00:00+00,Fairmount,234,198
2020/06/26 04:00:00+00,Providence/Stoughton,1239,199
2020/06/26 04:00:00+00,Newburyport/Rockport,1149.5,200
2020/08/03 04:00:00+00,Framingham/Worcester,1496.5,201
2020/08/03 04:00:00+00,Franklin/Foxboro,1453,202
2020/08/03 04:00:00+00,Middleborough/Lakeville,925.5,203
2020/08/03 04:00:00+00,Lowell,921,204
2020/08/03 04:00:00+00,Haverhill,640,205
2020/08/03 04:00:00+00,Kingston,656.5,206
2020/08/03 04:00:00+00,Needham,659,207
2020/08/03 04:00:00+00,Fitchburg,617,208
2020/08/03 04:00:00+00,Greenbush,353,209
2020/08/03 04:00:00+00,Fairmount,371,210
2020/08/04 04:00:00+00,Providence/Stoughton,2938,211
2020/08/04 04:00:00+00,Newburyport/Rockport,1472,212
2020/08/04 04:00:00+00,Framingham/Worcester,1498,213
2020/08/04 04:00:00+00,Franklin/Foxboro,1371,214
2020/08/04 04:00:00+00,Middleborough/Lakeville,939,215
2020/08/04 04:00:00+00,Lowell,848,216
2020/08/04 04:00:00+00,Haverhill,697,217
2020/08/04 04:00:00+00,Kingston,701.5,218
2020/08/04 04:00:00+00,Needham,658.5,219
2020/08/04 04:00:00+00,Fitchburg,572,220
2020/08/04 04:00:00+00,Greenbush,336.5,221
2020/08/04 04:00:00+00,Fairmount,414.5,222
2020/08/05 04:00:00+00,Providence/Stoughton,2866.5,223
2020/08/05 04:00:00+00,Newburyport/Rockport,1543,224
2020/08/05 04:00:00+00,Framingham/Worcester,1292,225
2020/08/05 04:00:00+00,Franklin/Foxboro,1393,226
2020/08/05 04:00:00+00,Middleborough/Lakeville,955,227
2020/08/05 04:00:00+00,Lowell,832,228
2020/08/05 04:00:00+00,Haverhill,703,229
2020/08/05 04:00:00+00,Kingston,730,230
2020/08/05 04:00:00+00,Needham,657,231
2020/08/05 04:00:00+00,Fitchburg,692,232
2020/08/05 04:00:00+00,Greenbush,311.5,233
2020/08/05 04:00:00+00,Fairmount,470,234
2020/08/06 04:00:00+00,Providence/Stoughton,3275,235
2020/08/06 04:00:00+00,Newburyport/Rockport,1550.5,236
2020/08/06 04:00:00+00,Framingham/Worcester,1474.5,237
2020/08/06 04:00:00+00,Franklin/Foxboro,1400.5,238
2020/08/06 04:00:00+00,Middleborough/Lakeville,767.5,239
2020/08/06 04:00:00+00,Lowell,972,240
2020/08/06 04:00:00+00,Haverhill,794,241
2020/08/06 04:00:00+00,Kingston,693,242
2020/08/06 04:00:00+00,Needham,664,243
2020/08/06 04:00:00+00,Fitchburg,789,244
2020/08/06 04:00:00+00,Greenbush,324,245
2020/08/06 04:00:00+00,Fairmount,412,246
2020/08/07 04:00:00+00,Providence/Stoughton,3303.5,247
2020/08/07 04:00:00+00,Newburyport/Rockport,1721,248
2020/08/07 04:00:00+00,Framingham/Worcester,1637.5,249
2020/08/07 04:00:00+00,Franklin/Foxboro,1320.5,250
2020/07/15 04:00:00+00,Needham,639.5,251
2020/07/15 04:00:00+00,Fitchburg,551,252
2020/07/15 04:00:00+00,Greenbush,341,253
2020/07/15 04:00:00+00,Fairmount,479.5,254
2020/07/16 04:00:00+00,Providence/Stoughton,2664,255
2020/07/16 04:00:00+00,Newburyport/Rockport,1599,256
2020/07/16 04:00:00+00,Framingham/Worcester,1568,257
2020/07/16 04:00:00+00,Franklin/Foxboro,1361,258
2020/07/16 04:00:00+00,Middleborough/Lakeville,972,259
2020/07/16 04:00:00+00,Lowell,946.5,260
2020/07/16 04:00:00+00,Haverhill,735,261
2020/07/16 04:00:00+00,Kingston,774,262
2020/07/16 04:00:00+00,Needham,706.5,263
2020/07/16 04:00:00+00,Fitchburg,583,264
2020/07/16 04:00:00+00,Greenbush,338,265
2020/07/16 04:00:00+00,Fairmount,427,266
2020/07/17 04:00:00+00,Providence/Stoughton,2638.5,267
2020/07/17 04:00:00+00,Newburyport/Rockport,1429.5,268
2020/07/17 04:00:00+00,Framingham/Worcester,1219.5,269
2020/07/17 04:00:00+00,Franklin/Foxboro,1426,270
2020/07/17 04:00:00+00,Middleborough/Lakeville,962,271
2020/07/17 04:00:00+00,Lowell,847,272
2020/07/17 04:00:00+00,Haverhill,691,273
2020/07/17 04:00:00+00,Kingston,799,274
2020/07/17 04:00:00+00,Needham,556.5,275
2020/07/17 04:00:00+00,Fitchburg,587,276
2020/07/17 04:00:00+00,Greenbush,297,277
2020/07/17 04:00:00+00,Fairmount,386.5,278
2020/07/20 04:00:00+00,Providence/Stoughton,2737,279
2020/07/20 04:00:00+00,Newburyport/Rockport,1354.5,280
2020/07/20 04:00:00+00,Framingham/Worcester,1361,281
2020/07/20 04:00:00+00,Franklin/Foxboro,1515.5,282
2020/07/20 04:00:00+00,Middleborough/Lakeville,857,283
2020/07/20 04:00:00+00,Lowell,893.5,284
2020/07/20 04:00:00+00,Haverhill,619,285
2020/07/20 04:00:00+00,Kingston,737,286
2020/07/20 04:00:00+00,Needham,795,287
2020/07/20 04:00:00+00,Fitchburg,570,288
2020/07/20 04:00:00+00,Greenbush,274,289
2020/07/20 04:00:00+00,Fairmount,349,290
2020/07/21 04:00:00+00,Providence/Stoughton,2944,291
2020/07/21 04:00:00+00,Newburyport/Rockport,1505,292
2020/07/21 04:00:00+00,Framingham/Worcester,1540,293
2020/07/21 04:00:00+00,Franklin/Foxboro,1474.5,294
2020/07/21 04:00:00+00,Middleborough/Lakeville,945,295
2020/07/21 04:00:00+00,Lowell,879,296
2020/07/21 04:00:00+00,Haverhill,651,297
2020/07/21 04:00:00+00,Kingston,806,298
2020/07/21 04:00:00+00,Needham,623.5,299
2020/07/21 04:00:00+00,Fitchburg,606,300
2020/07/28 04:00:00+00,Providence/Stoughton,2844,301
2020/07/28 04:00:00+00,Newburyport/Rockport,1523.5,302
2020/07/28 04:00:00+00,Framingham/Worcester,1508.5,303
2020/07/28 04:00:00+00,Franklin/Foxboro,1417,304
2020/07/28 04:00:00+00,Middleborough/Lakeville,1025,305
2020/07/28 04:00:00+00,Lowell,921,306
2020/07/28 04:00:00+00,Haverhill,656,307
2020/07/28 04:00:00+00,Kingston,702,308
2020/07/28 04:00:00+00,Needham,501,309
2020/07/28 04:00:00+00,Fitchburg,617.5,310
2020/07/28 04:00:00+00,Greenbush,295,311
2020/07/28 04:00:00+00,Fairmount,370.5,312
2020/07/29 04:00:00+00,Providence/Stoughton,2640.5,313
2020/07/29 04:00:00+00,Newburyport/Rockport,1560.5,314
2020/07/29 04:00:00+00,Framingham/Worcester,1470,315
2020/07/29 04:00:00+00,Franklin/Foxboro,1343,316
2020/07/29 04:00:00+00,Middleborough/Lakeville,994,317
2020/07/29 04:00:00+00,Lowell,926.5,318
2020/07/29 04:00:00+00,Haverhill,666,319
2020/07/29 04:00:00+00,Kingston,708,320
2020/07/29 04:00:00+00,Needham,551.5,321
2020/07/29 04:00:00+00,Fitchburg,597,322
2020/07/29 04:00:00+00,Greenbush,329,323
2020/07/29 04:00:00+00,Fairmount,380,324
2020/07/30 04:00:00+00,Providence/Stoughton,2650.5,325
2020/07/30 04:00:00+00,Newburyport/Rockport,1419,326
2020/07/30 04:00:00+00,Framingham/Worcester,1443,327
2020/07/30 04:00:00+00,Franklin/Foxboro,1434.5,328
2020/07/30 04:00:00+00,Middleborough/Lakeville,1068,329
2020/07/30 04:00:00+00,Lowell,878,330
2020/07/30 04:00:00+00,Haverhill,630,331
2020/07/30 04:00:00+00,Kingston,758.5,332
2020/07/30 04:00:00+00,Needham,623,333
2020/07/30 04:00:00+00,Fitchburg,563,334
2020/07/30 04:00:00+00,Greenbush,385.5,335
2020/07/30 04:00:00+00,Fairmount,419,336
2020/07/31 04:00:00+00,Providence/Stoughton,2957.5,337
2020/07/31 04:00:00+00,Newburyport/Rockport,1349.5,338
2020/07/31 04:00:00+00,Framingham/Worcester,1394.5,339
2020/07/31 04:00:00+00,Franklin/Foxboro,1387,340
2020/07/31 04:00:00+00,Middleborough/Lakeville,932,341
2020/07/31 04:00:00+00,Lowell,844,342
2020/07/31 04:00:00+00,Haverhill,611,343
2020/07/31 04:00:00+00,Kingston,683,344
2020/07/31 04:00:00+00,Needham,587,345
2020/07/31 04:00:00+00,Fitchburg,605.5,346
2020/07/31 04:00:00+00,Greenbush,301,347
2020/07/31 04:00:00+00,Fairmount,387.5,348
2020/08/03 04:00:00+00,Providence/Stoughton,3028,349
2020/08/03 04:00:00+00,Newburyport/Rockport,1441,350
2020/06/26 04:00:00+00,Framingham/Worcester,212,351
2020/06/26 04:00:00+00,Franklin/Foxboro,569,352
