date,time,trip_id,line_id,route_id,route_pattern_id,route_name,route_pattern_name,service_id,service_typicality,direction,from_station,to_station
2021-10-17,14:10:00,CR-508721-9743,line-Foxboro,CR-Foxboro,CR-Foxboro-ee315553-0,Foxboro Event Service,South Station - Foxboro,FLL 21-S-Su-76,4,0,South Station,Foxboro
2021-10-24,10:20:00,CR-508724-9810,line-Foxboro,CR-Foxboro,CR-Foxboro-26725160-1,Foxboro Event Service,Providence - Foxboro,FLL 21-S-Su-75,4,1,Providence,Foxboro
2021-10-24,10:35:00,CR-508723-9711,line-Foxboro,CR-Foxboro,CR-Foxboro-ee315553-0,Foxboro Event Service,South Station - Foxboro,FLL 21-S-Su-75,4,0,South Station,Foxboro
2021-11-14,10:20:00,CR-508724-9810,line-Foxboro,CR-Foxboro,CR-Foxboro-26725160-1,Foxboro Event Service,Providence - Foxboro,FLL 21-S-Su-75,4,1,Providence,Foxboro
2021-11-14,10:35:00,CR-508723-9711,line-Foxboro,CR-Foxboro,CR-Foxboro-ee315553-0,Foxboro Event Service,South Station - Foxboro,FLL 21-S-Su-75,4,0,South Station,Foxboro
2021-11-25,10:20:00,CR-508724-9810,line-Foxboro,CR-Foxboro,CR-Foxboro-26725160-1,Foxboro Event Service,Providence - Foxboro,FLL 21-S-Su-75,4,1,Providence,Foxboro
2021-11-25,10:35:00,CR-508723-9711,line-Foxboro,CR-Foxboro,CR-Foxboro-ee315553-0,Foxboro Event Service,South Station - Foxboro,FLL 21-S-Su-75,4,0,South Station,Foxboro
2021-11-28,10:20:00,CR-508724-9810,line-Foxboro,CR-Foxboro,CR-Foxboro-26725160-1,Foxboro Event Service,Providence - Foxboro,FLL 21-S-Su-75,4,1,Providence,Foxboro
2021-11-28,10:35:00,CR-508723-9711,line-Foxboro,CR-Foxboro,CR-Foxboro-ee315553-0,Foxboro Event Service,South Station - Foxboro,FLL 21-S-Su-75,4,0,South Station,Foxboro
2021-12-26,10:20:00,CR-508724-9810,line-Foxboro,CR-Foxboro,CR-Foxboro-26725160-1,Foxboro Event Service,Providence - Foxboro,FLL 21-S-Su-75,4,1,Providence,Foxboro
2021-12-26,10:35:00,CR-508723-9711,line-Foxboro,CR-Foxboro,CR-Foxboro-ee315553-0,Foxboro Event Service,South Station - Foxboro,FLL 21-S-Su-75,4,0,South Station,Foxboro
2022-01-02,10:20:00,CR-508724-9810,line-Foxboro,CR-Foxboro,CR-Foxboro-26725160-1,Foxboro Event Service,Providence - Foxboro,FALL 2021-S-Su-75,4,1,Providence,Foxboro
2022-01-02,10:35:00,CR-508723-9711,line-Foxboro,CR-Foxboro,CR-Foxboro-ee315553-0,Foxboro Event Service,South Station - Foxboro,FALL 2021-S-Su-75,4,0,South Station,Foxboro
2022-07-27,18:05:00,CR-544876-9781,line-Foxboro,CR-Foxboro,CR-Foxboro-ee315553-0,Foxboro Event Service,South Station - Foxboro,SPR22-S-Wdy-82,4,0,South Station,Foxboro
2022-07-28,18:05:00,CR-544876-9781,line-Foxboro,CR-Foxboro,CR-Foxboro-ee315553-0,Foxboro Event Service,South Station - Foxboro,SPR22-S-Wdy-82,4,0,South Station,Foxboro
